plot	tt_w	hld	tt_n	tt_d	tt	forb	legu	gras	total_mass	prop	propmath
CR-FA-1	C	1945.7833	NPK	D	NPKD	22.8945	1.2	228.85	252.9445	7.6925305	0.12234377
CR-FA-1	C	725.4877	NPK	D	NPKD	22.8945	1.2	228.85	252.9445	2.8681697	0.04561603
CR-FA-1	C	1116.9361	NPK	D	NPKD	22.8945	1.2	228.85	252.9445	4.4157358	0.07022887
CR-FA-2	C	149.419	NPK	D	NPKD	69.112	5.45	76.85	151.412	0.9868369	0.01214299
CR-FA-2	C	1829.3547	NPK	D	NPKD	69.112	5.45	76.85	151.412	12.0819662	0.14866809
CR-FA-2	C	501.7779	NPK	D	NPKD	69.112	5.45	76.85	151.412	3.3139901	0.04077851
CR-FA-3	C	244.0806	NPK	D	NPKD	24.35	1.3	104.55	130.2	1.8746593	0.02139084
CR-FA-3	C	392.4229	NPK	D	NPKD	24.35	1.3	104.55	130.2	3.014001	0.03439132
CR-FA-3	C	1992.2277	NPK	D	NPKD	24.35	1.3	104.55	130.2	15.3012884	0.17459568
CR-FA-4	C	534.8106	NPK	D	NPKD	11.4175	0	139.8	151.2175	3.536698	0.04349096
CR-FA-4	C	798.5086	NPK	D	NPKD	11.4175	0	139.8	151.2175	5.2805304	0.06493496
CR-FA-4	C	945.3797	NPK	D	NPKD	11.4175	0	139.8	151.2175	6.2517877	0.07687856
CR-FA-5	C	329.7333	NPK	D	NPKD	75.185	1.02	80.85	157.055	2.0994763	0.02631097
CR-FA-5	C	305.8257	NPK	D	NPKD	75.185	1.02	80.85	157.055	1.9472523	0.02440327
CR-SC-1	C	627.6189	C	D	D	19.197	6.0085	92.275	117.4805	5.3423237	0.0579046
CR-SC-1	C	1881.4196	C	D	D	19.197	6.0085	92.275	117.4805	16.0147396	0.17358124
CR-SC-1	C	2207.6426	C	D	D	19.197	6.0085	92.275	117.4805	18.7915659	0.20367882
CR-SC-2	C	1506.8721	C	D	D	57.7795	8.95	55.638	122.3675	12.3143164	0.13622078
CR-SC-2	C	1592.6897	C	D	D	57.7795	8.95	55.638	122.3675	13.0156266	0.14397866
CR-SC-2	C	2243.7755	C	D	D	57.7795	8.95	55.638	122.3675	18.3363676	0.20283661
CR-SC-3	C	802.9396	C	D	D	46.5595	0	101.85	148.4095	5.4102977	0.06591011
CR-SC-3	C	1083.3431	C	D	D	46.5595	0	101.85	148.4095	7.2996887	0.08892732
CR-SC-3	C	2047.3001	C	D	D	46.5595	0	101.85	148.4095	13.7949396	0.1680547
CR-SC-4	C	476.708	C	D	D	107.295	0	36.38	143.675	3.3179603	0.03977057
CR-SC-4	C	662.9557	C	D	D	107.295	0	36.38	143.675	4.6142729	0.05530875
CR-SC-4	C	1071.1415	C	D	D	107.295	0	36.38	143.675	7.4553091	0.08936269
CR-SC-5	C	537.8586	C	D	D	68.65	0.9455	53.8	123.3955	4.3588185	0.04841929
CR-SC-5	C	425.0738	C	D	D	68.65	0.9455	53.8	123.3955	3.4448076	0.03826614
NR-FA-1	C	0	NPK	C	NPK	161.245	12.021	83.125	256.391	0	0
NR-FA-2	C	1130.9858	NPK	C	NPK	67.2025	31	140.473	238.6755	4.7385921	0.07320711
NR-FA-2	C	472.0158	NPK	C	NPK	67.2025	31	140.473	238.6755	1.9776467	0.03055291
NR-FA-2	C	2101.8589	NPK	C	NPK	67.2025	31	140.473	238.6755	8.8063453	0.13605034
NR-FA-3	C	950.6777	NPK	C	NPK	65.95	11.25	154.15	231.35	4.1092619	0.06250267
NR-FA-3	C	1099.7856	NPK	C	NPK	65.95	11.25	154.15	231.35	4.7537741	0.07230583
NR-FA-4	C	3301.7939	NPK	C	NPK	34.6255	0	192.728	227.3535	14.5227318	0.21897732
NR-FA-5	C	476.5652	NPK	C	NPK	75.42	0.04	153.9	229.36	2.0778041	0.03146759
NR-SC-1	C	2979.6321	C	C	C	212.4095	22.3455	214.15	448.905	6.637556	0.14063241
NR-SC-2	C	1070.666	C	C	C	68.4855	64.0675	107.4065	239.9595	4.4618612	0.06911702
NR-SC-2	C	2528.3049	C	C	C	68.4855	64.0675	107.4065	239.9595	10.5363816	0.16321515
NR-SC-3	C	2320.4403	C	C	C	69.239	18.15	52.212	139.601	16.6219458	0.19639305
NR-SC-3	C	1563.7711	C	C	C	69.239	18.15	52.212	139.601	11.2017182	0.13235151
NR-SC-4	C	2490.69	C	C	C	55.42	0.05	88.65	144.12	17.2820564	0.20747107
NR-SC-5	C	645.1856	C	C	C	54.314	0.403	121.75	176.467	3.6561262	0.0485683
